NEW,P.SYMBOL,P.DATE,CURRENCY,P.PRICE,P.VOL$,EST.S.DATE,EST.S.PRICE,EST.PROFITPCT,EST.PROFITPCT252D,T.DATE,T.PRICE,T.VOL$,R.DATE,STATUS,PROFITPCT,PROFITPCT252D,DATEPCT,PRICEPCT
-,ASX-FMG,2020-07-07,AUD,14.8,176145192.0,2021-04-28,19.84,34.05,29.0,2020-12-07,19.84,352081693.0,-,CLOSED,34.05,65.0,45.0,100.0
-,ASX-SYR,2020-07-13,AUD,0.32,585668.0,2021-01-06,0.67,109.38,156.0,2020-11-20,0.67,10189612.0,-,CLOSED,109.38,246.0,63.0,100.0
-,ASX-SYR,2020-07-13,AUD,0.32,585668.0,2021-02-24,0.52,62.5,70.0,2020-10-12,0.52,1874458.0,-,CLOSED,62.5,202.0,35.0,100.0
-,ASX-S32,2020-07-15,AUD,2.14,49436166.0,2021-03-24,2.93,36.92,37.0,2021-03-08,2.93,43970927.0,-,CLOSED,36.92,46.0,81.0,100.0
-,ASX-CTD,2020-07-15,AUD,8.82,5397849.0,2021-01-02,11.5,30.39,45.0,2020-08-17,11.5,3130050.0,-,CLOSED,30.39,274.0,16.0,100.0
-,ASX-WEB,2020-07-15,AUD,2.96,22286320.0,2021-06-16,4.19,41.55,31.0,2020-10-06,4.19,13575227.0,-,CLOSED,41.55,147.0,21.0,100.0
-,ASX-RWC,2020-07-17,AUD,2.87,3593474.0,2020-12-24,3.97,38.33,60.0,2020-10-01,3.97,2232666.0,-,CLOSED,38.33,149.0,41.0,100.0
-,ASX-BPT,2020-07-17,AUD,1.52,11331475.0,2021-02-24,2.37,55.92,63.0,2021-02-24,1.635,21019581.0,-,CLOSED,7.57,10.0,86.0,14.0
-,ASX-SDF,2020-07-17,AUD,3.38,6139347.0,2021-05-06,4.44,31.36,27.0,2021-03-22,3.86,8362590.0,2021-02-23,OPEN,14.2,17.0,73.0,45.0
-,ASX-ARB,2020-07-20,AUD,19.0,3148388.0,2021-05-29,24.83,30.68,25.0,2020-08-24,24.83,4027693.0,-,CLOSED,30.68,258.0,10.0,100.0
-,ASX-CTD,2020-07-21,AUD,9.37,13998311.0,2021-01-08,12.22,30.42,45.0,2020-08-18,12.22,6572513.0,-,CLOSED,30.42,319.0,14.0,100.0
-,ASX-NAN,2020-07-21,AUD,6.5,4059081.0,2021-06-20,9.02,38.77,29.0,2021-03-22,6.15,1971462.0,2021-02-23,OPEN,-5.38,-6.0,63.0,-14.0
-,ASX-SDF,2020-07-22,AUD,3.53,9515475.0,2021-05-14,4.64,31.44,27.0,2021-03-22,3.86,8362590.0,2021-02-23,OPEN,9.35,11.0,71.0,30.0
-,ASX-A2M,2020-07-23,AUD,19.67,38605385.0,2021-01-12,28.91,46.98,68.0,2021-01-12,10.58,32483361.0,-,CLOSED,-46.21,-78.0,86.0,-98.0
-,ASX-CGC,2020-07-23,AUD,3.1,2402516.0,2021-02-04,4.4,41.94,54.0,2021-01-07,4.4,4509331.0,-,CLOSED,41.94,73.0,74.0,100.0
-,ASX-GEM,2020-07-23,AUD,0.86,4940115.0,2021-04-30,1.13,31.4,28.0,2020-10-30,1.13,9101809.0,-,CLOSED,31.4,93.0,30.0,100.0
-,ASX-BPT,2020-07-27,AUD,1.48,16999043.0,2021-03-08,2.6,75.68,85.0,2021-03-08,1.77,23185975.0,-,CLOSED,19.59,26.0,86.0,26.0
-,ASX-ORA,2020-07-28,AUD,2.37,17533245.0,2021-04-21,3.14,32.49,31.0,2021-03-12,3.14,7061780.0,-,CLOSED,32.49,42.0,73.0,100.0
